producto,precio,precio_x_unidad
Banano 1 Und, 900,No disponible
Tomate Chonto 1 Und, 800,No disponible
Aguacate Hass 1 Und, 2200,No disponible
Cebolla Blanca 1 Und, 1300,No disponible
Limón Tahiti Malla TAEQ 1000 Gr, 75,No disponible
Zanahoria 1 Und, 1500,No disponible
Mango Selecto 1 Und, 4600,No disponible
Pepino Cohombro 1 Und, 2700,No disponible
Naranja Tangelo Sel Car 1 Und, 2300,No disponible
Ajo Malla Importado X3 1 Und, 1800,No disponible
CILANTRO 100 Gr, 24,No disponible
TOMATE UVALINA 500 Gr, 238,No disponible
Granadilla 1 Und, 1100,No disponible
Pepino Zucchini 1 Und, 1800,No disponible
TOMATE CHONTO FRESCAMPO 1000 Gr, 317,No disponible
PAPA PASTUSA CARULLA 2500 Gr, 56,No disponible
Manzana Verde 1 Und, 2700,No disponible
Arandanos Organicos TAEQ 250 Gr, 82,No disponible
Papa Pastusa Granel, 56,No disponible
Cogollo De Lechuga Kosher TAEQ 250 Gr, 404,No disponible
Pera 1 Und, 2300,No disponible
Zanahoria 1000 Gr, 43,No disponible
ENSALADA BABY MIX 150 Gr, 5133,No disponible
Arandanos 250 Gr, 872,No disponible
LECHUGA VERDE CRESPA PET 130 Gr, 2692,No disponible
Coliflor 1 Und, 7900,No disponible
Manzana Bolsa TAEQ 800 Gr, 1324,No disponible
TOMATE CHERRY 500 Gr, 206,No disponible
Papaya Común 1 Und, 9400,No disponible
Apio Unidad Kosher TAEQ 700 Gr, 514,No disponible
Lechuga Rugula 150 Gr, 34,No disponible
Kiwi 1 Und, 1800,No disponible
Mandarina Arrayana 0.18 Und, 2400,No disponible
Naranja Jugo TAEQ 3000 Gr, 45,No disponible
Lechuga Batavia 1 Und, 6800,No disponible
Jengibre, 363,No disponible
Espinaca Unidad Kosher TAEQ 300 Gr, 1367,No disponible
KIWI MALLA 1000 Gr, 153,No disponible
Lulo Selecto 1 Und, 1500,No disponible
Jugo De Naranja CARULLA 2 Ml, 109,No disponible
Apio Tallos Kosher TAEQ 300 Gr, 4467,No disponible
PAPA CRIOLLA MEDIANA CARULLA 1500 Gr, 1173,No disponible
Zanahoria Baby Natural GRIMMWAY FARMS 250 Gr, 572,No disponible
ALBAHACA FRESCA BOLSA 50 Gr, 96,No disponible
Mango Sel C, 92,No disponible
Limon Mandarino Organico 1 Und, 5000,No disponible
Perejil Liso Kosher TAEQ 100 Gr, 42,No disponible
Pepino Europeo Unid 1 Und, 3300,No disponible
LECHUGA ROMANA BOLSA 200 Gr, 20,No disponible
TOMATE CHERRY ROSE 500 Gr, 252,No disponible
Manzana Roja 1 Und, 2500,No disponible
Champiñon Entero B.E 250 Gr, 568,No disponible
COGOLLITO EUROPEO 250 Gr, 412,No disponible
YERBABUENA FRESCA CAPUCHON 50 Gr, 28,No disponible
Mango De Azucar 1 Und, 1200,No disponible
Guayaba Pera 1 Und, 400,No disponible
ALBAHACA FRESCA CAPUCHON 50 Gr, 28,No disponible
Cilantro Hidroponico 75 Gr, 6267,No disponible
Frambuesa 125 Gr, 1736,No disponible
UVA ISABELLA 500 Gr, 98,No disponible
Lechuga Romana Organica TAEQ 120 Gr, 7333,No disponible
PEPINO MEDITERRANEO 300 Gr, 3533,No disponible
Ahuyama Porcionada, 43,No disponible
Champiñón Entero 500 Gr, 32,No disponible
RABANO ROJO ORGAN TAEQ 150 Gr, 50,No disponible
Manzana Criolla 1 Und, 1700,No disponible
ZUCHINI VERDE ORGANICO TAEQ 250 Gr, 396,No disponible
Papa Sabanera Granel, 125,No disponible
ARVEJA DESGRANADA 500 Gr, 574,No disponible
Acelga Kosher TAEQ 500 Gr, 84,No disponible
LECHUGA HIDROP. ROMANA 1 Und, 5200,No disponible
TOMATE CHERRY SNACK 200 Gr, 415,No disponible
