producto,precio,precio_unidad
LIMON TAHITI,$ 3.800,No disponible
MANZANA ROYAL GALA,$ 11.900,No disponible
TOMATE DE ARBOL,$ 4.200,No disponible
PEPINO ZUKINI,$ 5.200,No disponible
LECHUGA BATAVIA UND,$ 3.600,No disponible
PEPINO CALABAZIN AMARILLO,$ 5.200,No disponible
ZANAHORIA,$ 4.200,No disponible
TOMATE CHONTO,$ 4.600,No disponible
PAPA CAPIRA KILO,$ 5.900,No disponible
BANANO CRIOLLO,$ 3.400,No disponible
MANDARINA ONECA,$ 5.900,No disponible
CEBOLLA BLANCA,$ 5.600,No disponible
PLATANO,$ 3.790,No disponible
PAPAYA MARADOL,$ 4.900,No disponible
PAPA CRIOLLA,$ 7.900,No disponible
PEPINO COHOMBRO,$ 4.600,No disponible
AGUACATE HASS,$ 9.900,No disponible
FRESAS BANDEJA,$ 6.900,No disponible
MANGO DE AZUCAR,$ 4.900,No disponible
PINA ORO MIEL UNIDAD,$ 9.400,No disponible
MANGO TOMY,$ 8.900,No disponible
BANANO COMUN,$ 3.700,No disponible
MANZANA VERDE,$ 13.900,No disponible
GRANADILLA,$ 14.900,No disponible
AGUACATE LORENA,$ 10.900,No disponible
PIMENTON,$ 9.900,No disponible
LIMON MANDARINO,$ 4.600,No disponible
CILANTRO,$ 7.200,No disponible
CEBOLLA JUNCA PELADA UND,$ 4.100,No disponible
YUCA,$ 2.690,No disponible
NARANJA EN MALLA,$ 13.900,No disponible
PERA VERDE,$ 10.900,No disponible
BROCOLI,$ 9.900,No disponible
PAPA PASTUSA,$ 8.900,No disponible
LIMON COMUN,$ 6.900,No disponible
AJO PELADO PRIMAVERA EURO MAX,$ 2.390,No disponible
AGUACATE INJERTO,$ 8.900,No disponible
REMOLACHA,$ 4.900,No disponible
ESPINACA TIERNA x 200 GR,$ 4.900,No disponible
AJO MALLA,$ 15.900,No disponible
KIWI,$ 19.900,No disponible
COLIFLOR,$ 12.900,No disponible
LECHUGA CRESPA EUROMAX x 200GR,$ 2.980,No disponible
BERENJENA MORADA,$ 6.200,No disponible
ARANDANOS FRUVER x 125g,$ 7.900,No disponible
PAPA COROZA,$ 2.900,No disponible
PAPA CRIOLLA BALIN,$ 2.900,No disponible
SANDIA BABY,$ 4.600,No disponible
GUINEO,$ 3.400,No disponible
APIO,$ 6.400,No disponible
MAZORCA TRONCOS,$ 8.900,No disponible
PLATANO TIPO B,$ 3.200,No disponible
MARACUYA,$ 7.900,No disponible
FRIJOL DESGRANADO,$ 14.900,No disponible
LECHUGA ROMANA,$ 3.790,No disponible
NARANJA TANGELO MINEOLA,$ 6.900,No disponible
ESPARRAGOS x 500GR,$ 17.900,No disponible
ARANDANOS FRUVER*250GR,$ 16.900,No disponible
TOMATE UVA*500GR,$ 9.400,No disponible
TALLO DE APIO BANDEJA x 250 GR,$ 1.200,No disponible
NARANJA VALENCIA,$ 3.590,No disponible
MAIZ DULCE,$ 8.200,No disponible
ARVEJA DESGRANADA,$ 26.900,No disponible
ESPINACA HOJAS LA HUERTA x 200GR,$ 6.550,No disponible
FRESAS COFRE 500gr,$ 7.900,No disponible
MORA CONGELADA UND,$ 7.200,No disponible
YACON,$ 3.700,No disponible
ENSALADA SILVESTRE LA HUERTA x 250GR,$ 6.500,No disponible
PIMENTON COLORES,$ 9.900,No disponible
GUAYABA MANZANA,$ 7.900,No disponible
MANZANA VERDE EN BANDEJA,$ 13.900,No disponible
CEBOLLA PUERRO,$ 7.900,No disponible
LECHUGA PET VERDE CRESPA x 130 GR,$ 4.720,No disponible
ARANDANOS FRUVER*500GR,$ 29.900,No disponible
TOMATE CHERRY BAND 500gr,$ 9.600,No disponible
ENSALADA BABY MIX x 150 GR,$ 7.900,No disponible
PERA VERDE EMPACADA,$ 10.900,No disponible
MEZCLA DE VEGETALES FRA LA HUERTA *330GR,$ 9.950,No disponible
HABICHUELA,$ 4.900,No disponible
MEZCLA VEGETALES CHINO HUERTA x 400GR,$ 8.900,No disponible
RUGULA,$ 4.690,No disponible
JENGIBRE,$ 27.800,No disponible
UCHUVAS BANDEJA,$ 4.800,No disponible
UVA RED GLOBE IMPORTADA,$ 25.900,No disponible
