,producto,precio,precio_x_unidad,unidad
0,Limón Tahití Malla TAEQ 1000 gr, 3112, 3,Gr
1,Banano 1 und, 840, 840,Und
2,TOMATE CHONTO FRESCAMPO 1000 gr, 4460, 4,Gr
3,Tomate Chonto 1 und, 450, 450,Und
4,Cebolla Blanca 1 und, 1500, 1500,Und
5,ZANAHORIA FRESCAMPO 1000 gr, 4500, 4,Gr
6,Cebolla Roja 1 und, 920, 920,Und
7,CILANTRO 100 gr, 1560, 15,Gr
8,Aguacate Und 450 gr, 4300, 9,Gr
9,Pepino Cohombro 1 und, 1670, 1670,Und
10,Platano Maduro Und 1 und, 1100, 1100,Und
11,Ajo Malla Importado x3 1 und, 1680, 1680,Und
12,Aguacate Hass 1 und, 1580, 1580,Und
13,Piña 1 und, 8460, 8460,Und
14,Pimentón 1 und, 1840, 1840,Und
15,Mango Tommy 1 und, 5390, 5390,Und
16,PAPA FRESCAMPO 2000 gr, 10790, 5,Gr
17,Cebolla Junca 500 gr, 3870, 7,Gr
18,Papaya Und 1 und, 4980, 4980,Und
19,Plátano Verde 1 und, 1140, 1140,Und
20,Manzana Bolsa TAEQ 800 gr, 9250, 11,Gr
21,Brocolí 1 und, 4880, 4880,Und
22,PLATANO FRESCAMPO 1600 gr, 4520, 2,Gr
23,ARANDANOS(blue berrie) 125 gr, 7290, 58,Gr
24,Papa Criolla EXITO MARCA PROPIA 1000 gr, 4490, 4,Gr
25,Manzana Verde Bolsa. TAEQ 1000 gr, 11090, 11,Gr
26,Zanahoria 1 und, 1190, 1190,Und
27,Fresa Extra 500 gr, 10520, 21,Gr
28,Lechuga Batavia 1 und, 2870, 2870,Und
29,TOMATE ARBOL FRESCAMPO 1000 gr, 4360, 4,Gr
30,APIO 700 gr, 4970, 7,Gr
31,Papa Criolla FRESCAMPO 1000 gr, 6490, 6,Gr
32,Papa Capira EXITO MARCA PROPIA 3000 gr, 11940, 3,Gr
33,Pepino Zucchini 1 und, 1570, 1570,Und
34,UVA ISABELLA 500 gr, 3690, 7,Gr
35,Manzana Verde 1 und, 2110, 2110,Und
36,CHAMPINON ENTERO 250 gr, 8840, 35,Gr
37,PERAS FRESCAMPO 800 gr, 7590, 9,Gr
38,Limón Tahití 1 und, 200, 200,Und
39,TOMATE CHERRY 500 gr, 8680, 17,Gr
40,Espinaca Bogotana 300 gr, 4170, 13,Gr
41,Papa Pastusa Granel, 5970, 5,Kg
42,Mora Congelada 500 gr, 8140, 16,Gr
43,LECHUGA VERDE CRESPA HIDROP 170 gr, 2920, 17,Gr
44,Granadilla 1 und, 1760, 1760,Und
45,Murrapo 1 und, 580, 580,Und
46,Sandia Gourmet 1 und, 9080, 9080,Und
47,Coliflor 1 und, 3680, 3680,Und
48,Melón Común 1 und, 7890, 7890,Und
49,Manzana Gala 1 und, 1890, 1890,Und
50,Papa Capira 1 und, 1060, 1060,Und
51,UCHUVA SIN CAPACHO 400 gr, 6000, 15,Gr
52,Kiwi 1 und, 1790, 1790,Und
53,Yuca 1 und, 3760, 3760,Und
54,Cebolla Puerro 1 und, 3560, 3560,Und
55,NARANJA EKONO 2000 gr, 6970,No disponible,No disponible
56,MANDARINA ONECCO 1 und, 960, 960,Und
57,Pera 1 und, 2280, 2280,Und
58,Papa Criolla Granel, 4490, 4,Gr
59,Perejil Liso 100 gr, 1550, 15,Gr
60,Manzana Combinada TAEQ 1000 gr, 13150, 13,Gr
61,Champiñón Tajado 250 gr, 8770, 35,Gr
62,Berenjena 1 und, 2160, 2160,Und
63,Guineo Colicero 1 und, 330, 330,Und
64,Naranja Jugo TAEQ 3000 gr, 10800, 3,Kg
65,LECHUGA HIDROP. VERDE CRESPA 170 gr, 3610, 21,Gr
66,Fresa Primera 500 gr, 8410, 16,Gr
67,HABICHUELA EKONO 500 gr, 2600, 5,Gr
68,Lulo 1 und, 1010, 1010,Und
69,Guayaba Pera 1 und, 280, 280,Und
70,MARACUYA EKONO 1000 gr, 7280, 7,Gr
71,Jengibre, 3485, 34,Kg
72,Mazorca 1 und, 3130, 3130,Und
73,Naranja Tangelo Malla 1500 gr, 7710, 5,Gr
74,Manzana Roja 1 und, 1270, 1270,Und
75,LECHUGA VERDE CRESPA PET 130 gr, 5830, 44,Gr
76,REPOLLO MORADO E UNIDAD 1 und, 1500, 1500,Und
77,AHUYAMA ENTERA, 3490, 3,Kg
78,Pepino C/Cin Amarillo 1 und, 1680, 1680,Und
79,HABICHUELA 700 gr, 6400, 9,Gr
80,Mandarina Importada Malla 1000 gr, 14600, 14,Gr
81,PAPA PASTUSA EXITO MARCA PROPIA 3000 gr, 15250, 5,Gr
82,TOMATE UVALINA 500 gr, 9232, 18,Gr
83,Tomate Larga Vida 1 und, 780, 780,Und
84,Arracacha 1 und, 1180, 1180,Und
85,ENSALADA BABY MIX 150 gr, 8920, 59,Gr
86,Arandanos organicos TAEQ 250 gr, 19200, 76,Gr
87,Mandarina Importada 1 und, 3020, 3020,Und
88,Champiñón Entero 500 gr, 16100, 32,Gr
89,Maracuya 1 und, 1140, 1140,Und
90,Durazno Criollo 1 und, 1350, 1350,Und
91,LECHUGA CRESPA BOLSA 200 gr, 3800, 19,Gr
92,Pitahaya 1 und, 3720, 3720,Und
93,Acelga 500 gr, 2800, 5,Gr
94,KIWI MALLA 1000 gr, 17800, 17,Gr
95,Uva Red Globe, 24900, 24,Kg
96,Ahuyama Porcionada, 2890, 2,Kg
97,Lechuga Rugula 150 gr, 6240, 41,Gr
98,ALBAHACA FRESCA BOLSA 50 gr, 4800, 96,Gr
99,Papa Sin Lavar 1 und, 590, 590,Und
100,Repollo Blanco 1 und, 4500, 4500,Und
101,Arandano Congelado 500 gr, 20800, 41,Gr
102,Fresa 250 gr, 6520, 26,Gr
103,Mango Congelado 500 gr, 8060, 16,Gr
104,Mango De Azucar 1 und, 1200, 1200,Und
105,Zapayo, 4222, 3,Gr
106,Ciruela Roja Bja 500 gr, 5210, 10,Und
107,PLATANO ESPECIAL PARA ASADO, 620, 2,Kg
108,Coco 1 und, 5400, 5400,Und
109,Tomate Árbol 1 und, 530, 530,Und
110,ARVEJA EN VAINA 600 gr, 9450, 15,Gr
111,Sandia 1 und, 24200, 24200,Und
112,Guayaba Congelada FRUTINAL 500 gr, 6930, 13,Gr
113,Guanabana Congelada 500 gr, 10710, 21,Gr
114,PAPA CRIOLLA FREIR EXITO MARCA PROPIA 1000 gr, 7810, 7,Gr
115,Limon Mandarino Organico 1 und, 5000, 5000,Und
116,Perejil Crespo 100 gr, 3800, 38,Gr
117,Mazorca Dulce 1 und, 5900, 5900,Und
118,Cilantro kosher TAEQ 100 gr, 3090, 30,Gr
119,Espinaca Bolsa 300 gr, 4340, 14,Gr
120,CEBOLLA BCA SEMIPELADA UNIDAD, 690,No disponible,No disponible
121,Platano verde sw unidad 1 UNIDAD, 3140, 3140,Und
122,Brocoli En Vinipel 450 gr, 8110, 18,Gr
123,Naranja Jugo 1 und, 780, 780,Und
124,Durazno 1 und, 2790,No disponible,No disponible
125,Cogollo de lechuga Kosher TAEQ 250 gr, 9310, 37,Gr
126,ESPINACA BABY ORGAN TAEQ 150 gr, 10340, 68,Gr
127,Lechuga Batavia, 4090, 4,Kg
128,Espinaca unidad kosher TAEQ 300 gr, 3640, 12,Gr
129,Guayaba Manzana 1 und, 2030, 2030,Und
130,Pimenton Colores, 10890, 10,Kg
131,Guayaba Pera FRESCAMPO 1000 gr, 2790, 2,Gr
132,Naranja Tangelo 1 und, 2260, 2260,Und
133,Espárragos 1 und, 25750, 25750,Und
134,Mandarina Comun., 1647, 7,Kg
135,Maracuya Congelada 500 gr, 13500, 27,Gr
136,LECHUGA ROMANA BOLSA 200 gr, 5090, 25,Gr
137,Manzana Verde Bandeja TAEQ 1000 gr, 16200, 16,Gr
138,Ajo Nacional Pelado 50 gr, 3300, 66,Gr
139,Zanahoria Baby Natural GRIMMWAY FARMS 250 gr, 14850, 59,Gr
140,Pera Boyacense (Nacional) Unid 1 und, 2200, 2200,Und
141,Yuca Parafinada 1 und, 2840, 2840,Und
142,Guanabana 1 und, 23550, 23550,Und
143,Apio, 7770, 7,Kg
144,Pulpa De Guanabana FRESCAMPO 250 gr, 3990, 15,Gr
145,Espinaca Baby 150 gr, 8620, 57,Gr
146,Manzana Gala Bja TAEQ 1000 gr, 14200, 14,Gr
147,Uva Verde Sin Semilla, 40350, 40,Kg
148,PIMENTON VERDE, 9437, 7,Kg
149,Hoja Sabila 1 und, 1250, 1250,Und
150,Guanábana motas 140 gr, 9330, 66,Gr
151,Yerbabuena Fresca Bolsa 50 gr, 4800, 96,Gr
152,LECHUGA RUGULA 150 gr, 5400, 36,Gr
153,Pulpa De Lulo FRESCAMPO 250 gr, 3990, 15,Gr
154,AGUACATE 1 und, 3000, 3000,Und
155,Pina Congelada FRUTINAL 500 gr, 8920, 17,Gr
156,AGRAZ CONGELADO FRUTINAL 200 gr, 9330, 46,Gr
157,YUCA TROZOS AL VACIO TAEQ 500 gr, 8500, 17,Gr
158,FRIJOL VERDE 700 gr, 4840, 6,Gr
159,LECHUGA HIDROP. TROPICAL DEFRESCURA 170 gr, 5320, 31,Gr
160,Jugo De Limón AKYS FRUT 500 ml, 9910, 19,Ml
161,Salsa Polvo Tajin Clasico tajin 45 gr, 8160, 181,Gr
162,ARVEJA DESGRANADA 250 gr, 7180, 28,Gr
163,Pulpa Tripack De Frutas FRESCAMPO 750 gr, 8560, 11,Gr
164,GUINEO VERDE, 3584, 3,Kg
165,RAIZ CHINA 250 gr, 2750, 11,Gr
166,Manzana Criolla 1 und, 1430, 1430,Und
167,AGRAZ 250 gr, 7420, 29,Gr
168,Pulpa De Maracuyá FRESCAMPO 250 gr, 3990, 15,Gr
169,Brevas 1 und, 310, 310,Und
170,Espinaca tierna kosher TAEQ 150 gr, 10770, 71,Gr
171,UVA RED GLOBE NACIONAL 1000 gr, 19250, 19,Gr
172,Pulpa De Mora FRESCAMPO 250 gr, 3990, 15,Gr
173,Papa Sabanera Granel, 9592, 11,Kg
174,PULPA SAB.SURT X3UN. ECONOMICA FRUTINAL 170 gr, 9320, 54,Gr
175,Aguacate Und 350 gr, 3400, 9,Gr
176,Pulpa De Fresa FRESCAMPO 250 gr, 3990, 15,Gr
177,Curuba Larga 1 und, 660, 660,Und
178,Bebida verde TAEQ 400 ml, 4330, 10,Ml
179,Gulupa 1 und, 310, 310,Und
180,Manzana Nacional Bolsa 800 gr, 9460, 11,Gr
181,Ñame, 6490, 6,Kg
182,LECHUGA V/CRES ORGAN PET TAEQ 120 gr, 7250, 60,Gr
183,HABICHUELINA 250 gr, 6220, 24,Gr
184,Naranja Jugo 5000 gr, 17650, 3,Kg
185,Pulpa De Mango FRESCAMPO 250 gr, 3990, 15,Gr
186,Mandarina promocion 1000 gr, 4770, 4,Gr
187,Mandarina Arrayana 1 und, 670, 670,Und
188,Naranja Tangelo Importada, 2530, 10,Kg
189,Pera Nacional Bolsa 800 gr, 6420, 8,Gr
190,MANGO, 9094, 7,Kg
191,Limón Amarillo Importado, 1950, 13,Kg
